 frequency       out             out            
 3.63078055e+00 -2.00182992e-03 -2.29489826e-03 
 3.71535229e+00 -2.00210431e-03 -2.34835318e-03 
 3.80189396e+00 -2.00239163e-03 -2.40305321e-03 
 3.89045145e+00 -2.00269249e-03 -2.45902736e-03 
 3.98107171e+00 -2.00300753e-03 -2.51630531e-03 
 4.07380278e+00 -2.00333742e-03 -2.57491742e-03 
 4.16869383e+00 -2.00368286e-03 -2.63489477e-03 
 4.26579519e+00 -2.00404458e-03 -2.69626915e-03 
 4.36515832e+00 -2.00442334e-03 -2.75907312e-03 
 4.46683592e+00 -2.00481996e-03 -2.82333996e-03 
 4.57088190e+00 -2.00523526e-03 -2.88910375e-03 
 4.67735141e+00 -2.00567015e-03 -2.95639936e-03 
 4.78630092e+00 -2.00612552e-03 -3.02526247e-03 
 4.89778819e+00 -2.00660236e-03 -3.09572959e-03 
 5.01187234e+00 -2.00710167e-03 -3.16783807e-03 
 5.12861384e+00 -2.00762451e-03 -3.24162616e-03 
 5.24807460e+00 -2.00817200e-03 -3.31713296e-03 
 5.37031796e+00 -2.00874528e-03 -3.39439852e-03 
 5.49540874e+00 -2.00934559e-03 -3.47346380e-03 
 5.62341325e+00 -2.00997419e-03 -3.55437071e-03 
 5.75439937e+00 -2.01063241e-03 -3.63716216e-03 
 5.88843655e+00 -2.01132165e-03 -3.72188203e-03 
 6.02559586e+00 -2.01204338e-03 -3.80857524e-03 
 6.16595002e+00 -2.01279913e-03 -3.89728776e-03 
 6.30957344e+00 -2.01359049e-03 -3.98806662e-03 
 6.45654229e+00 -2.01441915e-03 -4.08095994e-03 
 6.60693448e+00 -2.01528686e-03 -4.17601697e-03 
 6.76082975e+00 -2.01619547e-03 -4.27328812e-03 
 6.91830971e+00 -2.01714690e-03 -4.37282494e-03 
 7.07945784e+00 -2.01814317e-03 -4.47468022e-03 
 7.24435960e+00 -2.01918639e-03 -4.57890794e-03 
 7.41310241e+00 -2.02027878e-03 -4.68556338e-03 
 7.58577575e+00 -2.02142266e-03 -4.79470306e-03 
 7.76247117e+00 -2.02262045e-03 -4.90638485e-03 
 7.94328235e+00 -2.02387469e-03 -5.02066796e-03 
 8.12830516e+00 -2.02518804e-03 -5.13761297e-03 
 8.31763771e+00 -2.02656330e-03 -5.25728189e-03 
 8.51138038e+00 -2.02800337e-03 -5.37973815e-03 
 8.70963590e+00 -2.02951131e-03 -5.50504667e-03 
 8.91250938e+00 -2.03109032e-03 -5.63327388e-03 
 9.12010839e+00 -2.03274375e-03 -5.76448775e-03 
 9.33254301e+00 -2.03447511e-03 -5.89875786e-03 
 9.54992586e+00 -2.03628807e-03 -6.03615536e-03 
 9.77237221e+00 -2.03818648e-03 -6.17675311e-03 
 1.00000000e+01 -2.04017436e-03 -6.32062563e-03 
 1.02329299e+01 -2.04225593e-03 -6.46784919e-03 
 1.04712855e+01 -2.04443561e-03 -6.61850183e-03 
 1.07151931e+01 -2.04671803e-03 -6.77266342e-03 
 1.09647820e+01 -2.04910802e-03 -6.93041566e-03 
 1.12201845e+01 -2.05161065e-03 -7.09184219e-03 
 1.14815362e+01 -2.05423124e-03 -7.25702856e-03 
 1.17489755e+01 -2.05697534e-03 -7.42606235e-03 
 1.20226443e+01 -2.05984878e-03 -7.59903314e-03 
 1.23026877e+01 -2.06285766e-03 -7.77603263e-03 
 1.25892541e+01 -2.06600835e-03 -7.95715462e-03 
 1.28824955e+01 -2.06930754e-03 -8.14249512e-03 
